month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_tpm,passes,tf
2019-10,71619.7219,-1.1714,0.0000,-1.1714,3,0.0000,False,True,False,False,1D
2019-11,68509.2633,-4.3430,-4.3430,-2.2489,10,0.0000,False,True,True,False,1D
2019-12,68509.2633,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2020-01,68509.2633,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2020-02,74064.9506,8.1094,-1.7629,-1.7629,37,70.2703,True,True,True,True,1D
2020-03,72609.9690,-1.9645,-1.9645,-1.5961,5,0.0000,False,True,False,False,1D
2020-04,72609.9690,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2020-05,71249.3616,-1.8739,-1.8739,-0.7872,5,0.0000,False,True,False,False,1D
2020-06,69097.9023,-3.0196,-2.6370,-1.2709,7,0.0000,False,True,True,False,1D
2020-07,88816.5199,28.5372,0.0000,0.0000,56,100.0000,True,True,True,True,1D
2020-08,103162.4728,16.1523,-0.4816,-0.4816,50,80.0000,True,True,True,True,1D
2020-09,98156.1862,-4.8528,-4.8528,-2.9011,12,0.0000,False,True,True,False,1D
2020-10,94109.5176,-4.1227,-4.1227,-2.7690,9,0.0000,False,True,True,False,1D
2020-11,85970.9893,-8.6479,-8.6479,-5.0030,20,0.0000,False,False,True,False,1D
2020-12,85970.9893,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2021-01,85635.3018,-0.3905,-0.3905,-0.3905,1,0.0000,False,True,False,False,1D
2021-02,85635.3018,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2021-03,85635.3018,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2021-04,83276.8011,-2.7541,-2.7541,-2.0125,7,0.0000,False,True,True,False,1D
2021-05,82341.1165,-1.1236,-1.1236,-0.7546,3,0.0000,False,True,False,False,1D
2021-06,81423.9643,-1.1138,-1.1138,-1.1138,3,0.0000,False,True,False,False,1D
2021-07,80525.6546,-1.1032,-1.1032,-0.3745,3,0.0000,False,True,False,False,1D
2021-08,80213.8916,-0.3872,-1.1193,-1.1193,5,40.0000,False,True,False,False,1D
2021-09,78725.1021,-1.8560,-1.8560,-1.1066,7,0.0000,False,True,True,False,1D
2021-10,78049.4978,-0.8582,-0.8582,-0.8582,2,0.0000,False,True,False,False,1D
2021-11,77666.7945,-0.4903,-1.2542,-0.5150,5,40.0000,False,True,False,False,1D
2021-12,77666.7945,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2022-01,76804.3097,-1.1105,-1.1105,-0.7366,3,0.0000,False,True,False,False,1D
2022-02,77534.6166,0.9509,0.0000,0.0000,2,100.0000,False,True,False,False,1D
2022-03,78726.9545,1.5378,0.0000,0.0000,2,100.0000,False,True,False,False,1D
2022-04,78726.9545,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2022-05,78726.9545,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2022-06,78726.9545,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2022-07,77849.1753,-1.1150,-1.1150,-0.3835,3,0.0000,False,True,False,False,1D
2022-08,77261.3177,-0.7551,-0.7551,-0.3822,2,0.0000,False,True,False,False,1D
2022-09,77261.3177,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2022-10,77261.3177,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2022-11,77624.4899,0.4701,-0.3760,-0.3760,3,66.6667,False,True,False,False,1D
2022-12,76780.3155,-1.0875,-0.3650,-0.7251,3,0.0000,False,True,False,False,1D
2023-01,76926.7427,0.1907,-0.3698,-1.5558,11,45.4545,False,True,True,False,1D
2023-02,77158.3063,0.3010,0.0000,-0.3601,3,66.6667,False,True,False,False,1D
2023-03,75980.4895,-1.5265,-1.1583,-0.3981,4,0.0000,False,True,False,False,1D
2023-04,75980.4895,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2023-05,75709.2551,-0.3570,-0.3570,-0.3570,1,0.0000,False,True,False,False,1D
2023-06,75709.2551,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2023-07,75429.0819,-0.3701,-0.3701,-0.3701,1,0.0000,False,True,False,False,1D
2023-08,74562.7187,-1.1486,-1.1486,-0.3852,3,0.0000,False,True,False,False,1D
2023-09,74562.7187,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2023-10,74562.7187,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2023-11,74282.4586,-0.3759,-0.3759,-0.3759,1,0.0000,False,True,False,False,1D
2023-12,74282.4586,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2024-01,74282.4586,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2024-02,74282.4586,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2024-03,78017.2980,5.0279,0.0000,0.0000,11,100.0000,True,True,True,True,1D
2024-04,91725.9492,17.5713,0.0000,0.0000,37,100.0000,True,True,True,True,1D
2024-05,90918.3088,-0.8805,-0.8805,-0.4908,4,25.0000,False,True,False,False,1D
2024-06,90587.3952,-0.3640,-0.3640,-0.3640,2,0.0000,False,True,False,False,1D
2024-07,90914.8663,0.3615,0.0000,0.0000,1,100.0000,False,True,False,False,1D
2024-08,91993.7272,1.1867,-0.3778,-0.3778,5,80.0000,False,True,False,False,1D
