month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_wd,obj_tpm,passes
2020-03,302763.0100,2.5661,-0.9975,-0.5000,12,50.0000,True,True,True,True,True
2020-04,313868.6700,3.6681,-0.9975,-0.9975,10,50.0000,True,True,True,True,True
2020-05,310737.8300,-0.9975,-0.9975,-0.5000,2,0.0000,False,True,True,False,False
2020-06,309304.0700,-0.4614,-3.7653,-0.9975,19,36.8421,False,True,True,True,False
2020-07,316813.3600,2.4278,-2.4751,-0.9975,16,37.5000,True,True,True,True,True
2020-08,313877.8500,-0.9266,-2.0276,-0.9975,15,40.0000,False,True,True,True,False
2020-09,321120.2200,2.3074,-1.9850,-0.9975,18,33.3333,True,True,True,True,True
2020-10,316705.7400,-1.3747,-2.9627,-1.4925,14,21.4286,False,True,True,True,False
2020-11,324223.8200,2.3738,-2.6864,-0.9975,18,33.3333,True,True,True,True,True
2020-12,331819.3200,2.3427,-1.4925,-0.9975,14,42.8571,True,True,True,True,True
2021-01,339449.0100,2.2994,-1.4925,-0.9975,15,26.6667,True,True,True,True,True
2021-02,333915.3900,-1.6302,-1.6302,-0.9975,9,22.2222,False,True,True,True,False
2021-03,333766.1500,-0.0447,-1.9997,-0.9975,13,23.0769,False,True,True,True,False
2021-04,330211.8800,-1.0649,-2.9627,-1.4925,12,25.0000,False,True,True,True,False
2021-05,340222.0000,3.0314,-1.6159,-1.4925,17,47.0588,True,True,True,True,True
2021-06,344502.3100,1.2581,-2.9772,-1.4925,20,30.0000,False,True,True,True,False
2021-07,339990.8300,-1.3096,-2.4894,-0.9975,13,23.0769,False,True,True,True,False
2021-08,343248.3900,0.9581,-2.4751,-0.9975,17,29.4118,False,True,True,True,False
2021-09,353462.2700,2.9757,-3.4479,-0.9975,21,38.0952,True,True,True,True,True
2021-10,361292.5800,2.2153,-0.9975,-0.9975,10,40.0000,True,True,True,True,True
2021-11,388846.4000,7.6265,-1.4925,-0.9975,18,44.4444,True,True,True,True,True
2021-12,381617.2000,-1.8591,-2.8236,-0.9975,9,22.2222,False,True,True,True,False
2022-01,389631.1800,2.1000,-1.8548,-1.4925,21,33.3333,True,True,True,True,True
2022-02,400077.4300,2.6811,-1.4925,-1.4925,19,36.8421,True,True,True,True,True
2022-03,402074.1300,0.4991,-2.4897,-0.9975,12,25.0000,False,True,True,True,False
2022-04,415022.3400,3.2204,-1.4925,-0.5000,15,40.0000,True,True,True,True,True
2022-05,431258.5000,3.9121,-1.4925,-0.5000,14,42.8571,True,True,True,True,True
2022-06,443629.8800,2.8687,-0.9975,-0.9975,12,41.6667,True,True,True,True,True
2022-07,458514.5300,3.3552,-1.7180,-0.5000,15,46.6667,True,True,True,True,True
2022-08,526773.8700,14.8871,-0.9975,-0.9975,15,73.3333,True,True,True,True,True
2022-09,507920.7000,-3.5790,-4.5266,-0.9975,17,11.7647,False,True,True,True,False
2022-10,510016.8700,0.4127,-3.9307,-1.4925,23,26.0870,False,True,True,True,False
2022-11,519958.4500,1.9493,-2.9627,-0.9975,17,35.2941,False,True,True,True,False
2022-12,530172.8100,1.9645,-1.5072,-0.9975,11,27.2727,False,True,True,True,False
2023-01,543223.4000,2.4616,-1.9850,-0.9975,15,33.3333,True,True,True,True,True
2023-02,579712.3400,6.7171,-1.6657,-0.5000,17,47.0588,True,True,True,True,True
2023-03,575664.3600,-0.6983,-1.9997,-1.4925,15,20.0000,False,True,True,True,False
2023-04,564237.1300,-1.9850,-1.4925,-0.5000,4,0.0000,False,True,True,False,False
2023-05,575235.6100,1.9493,-2.4751,-0.9975,15,33.3333,False,True,True,True,False
2023-06,593271.0900,3.1353,-1.9850,-0.9975,15,46.6667,True,True,True,True,True
2023-07,615766.8300,3.7918,-0.9975,-0.9975,11,45.4545,True,True,True,True,True
2023-08,660606.1400,7.2819,-1.4925,-0.9975,23,43.4783,True,True,True,True,True
2023-09,728562.0800,10.2869,-1.4925,-0.9975,16,62.5000,True,True,True,True,True
2023-10,802845.5300,10.1959,-1.8883,-0.9975,17,58.8235,True,True,True,True,True
2023-11,826108.7000,2.8976,-1.4925,-0.9975,12,41.6667,True,True,True,True,True
2023-12,843773.9800,2.1384,-1.8325,-0.9975,14,42.8571,True,True,True,True,True
2024-01,836404.4400,-0.8734,-4.4110,-1.4925,15,20.0000,False,True,True,True,False
2024-02,857120.8600,2.4768,-1.4925,-0.5000,11,36.3636,True,True,True,True,True
2024-03,873958.6400,1.9645,-3.4479,-1.4925,12,33.3333,False,True,True,True,False
2024-04,880709.2000,0.7724,-2.7308,-0.5000,14,42.8571,False,True,True,True,False
2024-05,844079.1200,-4.1592,-5.9060,-1.0693,22,18.1818,False,True,True,True,False
2024-06,876818.2500,3.8787,-1.1603,-0.9975,10,50.0000,True,True,True,True,True
2024-07,938115.2200,6.9908,-2.2183,-0.9975,22,45.4545,True,True,True,True,True
2024-08,988219.3500,5.3409,-3.1217,-0.9975,24,45.8333,True,True,True,True,True
2024-09,1032753.0600,4.5065,-1.9850,-1.6133,21,47.6190,True,True,True,True,True
2024-10,1050722.2100,1.7399,-1.9850,-0.9975,19,31.5789,False,True,True,True,False
2024-11,1088408.7800,3.5867,-3.0435,-1.4925,14,35.7143,True,True,True,True,True
2024-12,1150506.7900,5.7054,-1.3662,-0.9975,24,45.8333,True,True,True,True,True
2025-01,1203219.9100,4.5817,-2.9627,-1.4925,24,37.5000,True,True,True,True,True
2025-02,1264919.4700,5.1279,-1.9850,-1.4925,19,42.1053,True,True,True,True,True
2025-03,1342429.0400,6.1276,-0.9975,-0.9975,11,54.5455,True,True,True,True,True
2025-04,1348357.0000,0.4416,-1.9850,-1.4925,20,35.0000,False,True,True,True,False
2025-05,1438335.7200,6.6732,-1.4925,-0.5000,12,58.3333,True,True,True,True,True
2025-06,1533540.7300,6.6191,-1.9850,-0.9975,17,47.0588,True,True,True,True,True
2025-07,1562967.6300,1.9189,-3.9307,-1.4925,24,29.1667,False,True,True,True,False
