entry_time,exit_time,direction,pnl_abs,win
2019-05-10 08:00:00,2019-05-10 12:00:00,L,4561.9260618898215,True
2019-05-13 04:00:00,2019-05-13 12:00:00,L,159.40065778428314,True
2019-05-14 04:00:00,2019-05-14 08:00:00,L,-1862.5410385133214,False
2019-05-14 16:00:00,2019-05-15 00:00:00,L,1200.3123752914116,True
2019-05-15 04:00:00,2019-05-15 16:00:00,L,755.1888165528503,True
2019-05-16 00:00:00,2019-05-16 08:00:00,L,-282.5701395671731,False
2019-05-24 08:00:00,2019-05-24 12:00:00,L,-1861.0241586234315,False
2019-05-27 20:00:00,2019-05-28 00:00:00,L,-1846.1359653544444,False
2019-05-30 12:00:00,2019-05-30 16:00:00,L,4578.417194079022,True
2019-06-04 12:00:00,2019-06-04 20:00:00,L,2143.9346238351795,True
2019-06-05 20:00:00,2019-06-06 04:00:00,L,1240.1307826560821,True
2019-06-06 20:00:00,2019-06-07 04:00:00,L,-517.3187878477428,False
2019-06-10 04:00:00,2019-06-10 08:00:00,L,-1890.928188133389,False
2019-06-11 08:00:00,2019-06-11 16:00:00,L,3436.7256202791805,True
2019-06-12 20:00:00,2019-06-13 04:00:00,L,3066.642537034,True
2019-06-14 20:00:00,2019-06-17 00:00:00,L,-1714.1852755580649,False
2019-06-17 08:00:00,2019-06-17 12:00:00,L,4785.285564205907,True
2019-06-18 20:00:00,2019-06-19 04:00:00,L,-1393.9619192141406,False
2019-06-19 12:00:00,2019-06-19 16:00:00,L,4853.112037105742,True
2019-06-25 20:00:00,2019-06-26 00:00:00,L,-1980.0697111391428,False
2019-06-26 12:00:00,2019-06-26 20:00:00,L,2394.4190199772925,True
2019-06-27 04:00:00,2019-06-27 08:00:00,L,-1983.384505609848,False
2019-07-01 20:00:00,2019-07-02 04:00:00,L,3174.0592952995157,True
2019-07-03 12:00:00,2019-07-03 20:00:00,L,-553.9387723560243,False
2019-07-04 12:00:00,2019-07-04 20:00:00,L,740.689737833914,True
2019-07-05 12:00:00,2019-07-05 16:00:00,L,-1994.4039116511888,False
2019-07-08 20:00:00,2019-07-09 04:00:00,L,1363.1945114356654,True
2019-07-10 04:00:00,2019-07-10 12:00:00,L,1556.4037332915173,True
2019-07-11 16:00:00,2019-07-11 20:00:00,L,-2001.8054663157966,False
2019-07-15 04:00:00,2019-07-15 12:00:00,L,-845.8652399370934,False
2019-07-16 20:00:00,2019-07-17 00:00:00,L,-1979.0241006657736,False
2019-07-17 08:00:00,2019-07-17 12:00:00,L,4907.979769651119,True
2019-07-18 04:00:00,2019-07-18 08:00:00,L,-2002.4557460176563,False
2019-07-19 08:00:00,2019-07-19 12:00:00,L,-1986.436100049515,False
2019-07-19 16:00:00,2019-07-21 20:00:00,L,797.0172091237057,True
2019-07-22 12:00:00,2019-07-22 20:00:00,L,-767.1414997825102,False
2019-07-23 00:00:00,2019-07-23 04:00:00,L,-1970.7836169238485,False
2019-07-23 20:00:00,2019-07-24 04:00:00,L,2628.0273032523187,True
2019-07-25 16:00:00,2019-07-25 20:00:00,L,-1976.0415664144762,False
2019-07-26 20:00:00,2019-07-29 00:00:00,L,2593.981571743802,True
2019-07-29 08:00:00,2019-07-29 12:00:00,L,-1980.9850864571108,False
2019-07-30 08:00:00,2019-07-30 16:00:00,L,1830.5825062912588,True
2019-07-31 04:00:00,2019-07-31 12:00:00,L,3663.142340125637,True
